Switch ip = 172.23.13.112
sh mac address-table | exclude Po
          Mac Address Table
-------------------------------------------

----    -----------       --------    -----
 All    0100.0ccc.cccc    STATIC      CPU
 All    0100.0ccc.cccd    STATIC      CPU
 All    0180.c200.0000    STATIC      CPU
 102    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 103    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 104    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 105    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 106    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 107    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 121    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 122    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 123    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 124    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 125    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 255    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 313    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 460    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 461    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 470    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 471    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 472    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 473    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 480    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 490    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 724    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 730    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 731    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 760    0023.245d.4b17    DYNAMIC     Gi1/0/24
 760    0023.245d.4bbc    DYNAMIC     Gi1/0/24
 760    0023.245d.4ca1    DYNAMIC     Gi1/0/24
 760    0023.245d.4daa    DYNAMIC     Gi1/0/24
 760    0023.245d.d6b2    DYNAMIC     Gi1/0/24
 760    1c69.7a35.6e13    DYNAMIC     Gi1/0/24
 760    1c69.7a35.9535    DYNAMIC     Gi1/0/24
 760    1c69.7a35.975a    DYNAMIC     Gi1/0/24
 760    1c69.7a37.1124    DYNAMIC     Gi1/0/24
 760    1c69.7a37.6d5b    DYNAMIC     Gi1/0/24
 760    1c69.7a37.7450    DYNAMIC     Gi1/0/24
 760    1c69.7a37.7567    DYNAMIC     Gi1/0/24
 760    1c69.7a37.8051    DYNAMIC     Gi1/0/24
 760    1c69.7a37.810e    DYNAMIC     Gi1/0/24
 760    1c69.7a37.84f2    DYNAMIC     Gi1/0/10
 760    1c69.7a37.8774    DYNAMIC     Gi1/0/24
 760    1c69.7a37.8966    DYNAMIC     Gi1/0/14
 760    1c69.7a3d.6974    DYNAMIC     Gi1/0/24
 760    1c69.7a3f.f06c    DYNAMIC     Gi1/0/24
 760    1c69.7a3f.f0d6    DYNAMIC     Gi1/0/19
 760    1c69.7a70.0add    DYNAMIC     Gi1/0/4
 760    1c69.7a70.0b20    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0b61    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0b73    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0bca    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0bcf    DYNAMIC     Gi1/0/20
 760    1c69.7a70.0c74    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0cce    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0d08    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0d0e    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0d2b    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0d3a    DYNAMIC     Gi1/0/7
 760    1c69.7a70.0d6e    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0d89    DYNAMIC     Gi1/0/8
 760    1c69.7a70.0d8b    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0dc8    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0dcc    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0e4b    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0e96    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0ea3    DYNAMIC     Gi1/0/24
 760    1c69.7a70.1697    DYNAMIC     Gi1/0/24
 760    1c69.7a70.1c44    DYNAMIC     Gi1/0/6
 760    1c69.7a70.87b4    DYNAMIC     Gi1/0/24
 760    1c69.7a70.87f9    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8809    DYNAMIC     Gi1/0/16
 760    1c69.7a70.881f    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8827    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8868    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8879    DYNAMIC     Gi1/0/24
 760    1c69.7a70.88a4    DYNAMIC     Gi1/0/24
 760    1c69.7a70.88aa    DYNAMIC     Gi1/0/24
 760    1c69.7a70.893b    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8953    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8994    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8996    DYNAMIC     Gi1/0/24
 760    1c69.7a70.89d5    DYNAMIC     Gi1/0/24
 760    1c69.7a70.89f4    DYNAMIC     Gi1/0/24
 760    1c69.7a70.89fa    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8a0c    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8a16    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8a29    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8a33    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8a3b    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8a57    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8a75    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8a7f    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8a87    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8aa0    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8aa1    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8aef    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8b0b    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8b4d    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8b56    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8b66    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8b82    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8bff    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8c27    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8c32    DYNAMIC     Gi1/0/12
 760    1c69.7a70.8c40    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8cc5    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8cfe    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8de6    DYNAMIC     Gi1/0/5
 760    1c69.7a70.8e1b    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8e6c    DYNAMIC     Gi1/0/3
 760    1c69.7a70.8e90    DYNAMIC     Gi1/0/11
 760    1c69.7a70.8e94    DYNAMIC     Gi1/0/18
 760    1c69.7a70.8e95    DYNAMIC     Gi1/0/2
 760    1c69.7a70.8e98    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8ec0    DYNAMIC     Gi1/0/22
 760    1c69.7a70.8ec5    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8efe    DYNAMIC     Gi1/0/24
 760    1c69.7a71.dac9    DYNAMIC     Gi1/0/24
 760    1c69.7a71.f9b4    DYNAMIC     Gi1/0/24
 760    1c69.7a71.fcca    DYNAMIC     Gi1/0/24
 760    1c69.7a71.fccb    DYNAMIC     Gi1/0/24
 760    1c69.7a71.feff    DYNAMIC     Gi1/0/24
 760    1c69.7a72.0019    DYNAMIC     Gi1/0/24
 760    1c69.7a72.001b    DYNAMIC     Gi1/0/24
 760    1c69.7a72.0043    DYNAMIC     Gi1/0/24
 760    1c69.7a72.00a1    DYNAMIC     Gi1/0/24
 760    1c69.7a72.00d2    DYNAMIC     Gi1/0/24
 760    1c69.7a72.0101    DYNAMIC     Gi1/0/24
 760    1c69.7a72.0102    DYNAMIC     Gi1/0/24
 760    1c69.7a72.012f    DYNAMIC     Gi1/0/24
 760    1c69.7a72.0142    DYNAMIC     Gi1/0/24
 760    1c69.7a72.04df    DYNAMIC     Gi1/0/24
 760    1c69.7a75.8de6    DYNAMIC     Gi1/0/24
 760    1c69.7a76.6f54    DYNAMIC     Gi1/0/24
 760    1c69.7a76.e0a2    DYNAMIC     Gi1/0/24
 760    1c69.7a76.e1f4    DYNAMIC     Gi1/0/24
 760    1c69.7a77.1c5a    DYNAMIC     Gi1/0/24
 760    1c69.7a77.1c60    DYNAMIC     Gi1/0/24
 760    1c69.7a77.1c6e    DYNAMIC     Gi1/0/24
 760    1c69.7a77.1d4a    DYNAMIC     Gi1/0/24
 760    1c69.7a77.1d59    DYNAMIC     Gi1/0/24
 760    1c69.7a77.1d97    DYNAMIC     Gi1/0/24
 760    1c69.7a77.1e18    DYNAMIC     Gi1/0/24
 760    1c69.7a77.1f35    DYNAMIC     Gi1/0/24
 760    1c69.7a77.20b4    DYNAMIC     Gi1/0/24
 760    1c69.7a77.21ec    DYNAMIC     Gi1/0/24
 760    1c69.7a77.21ff    DYNAMIC     Gi1/0/24
 760    1c69.7a77.2209    DYNAMIC     Gi1/0/24
 760    1c69.7a77.2277    DYNAMIC     Gi1/0/24
 760    24e9.b396.2380    DYNAMIC     Gi1/0/24
 760    881d.fc57.a998    DYNAMIC     Gi1/0/24
 760    881d.fc63.b618    DYNAMIC     Gi1/0/24
 760    8cec.4b4b.b2b4    DYNAMIC     Gi1/0/24
 760    8cec.4b4b.b7a5    DYNAMIC     Gi1/0/24
 760    8cec.4b4d.9596    DYNAMIC     Gi1/0/24
 760    8cec.4b4e.18a2    DYNAMIC     Gi1/0/24
 760    8cec.4b91.c45f    DYNAMIC     Gi1/0/24
 760    8cec.4b91.e174    DYNAMIC     Gi1/0/24
 760    8cec.4b9b.fea5    DYNAMIC     Gi1/0/24
 760    8cec.4b9b.ff2a    DYNAMIC     Gi1/0/24
 760    8cec.4b9f.cec5    DYNAMIC     Gi1/0/24
 760    a0d3.c10f.07a1    DYNAMIC     Gi1/0/24
 760    a0d3.c11b.11ca    DYNAMIC     Gi1/0/24
 760    a0d3.c11b.38c4    DYNAMIC     Gi1/0/24
 760    a0ec.f916.e498    DYNAMIC     Gi1/0/24
 760    a0ec.f935.d818    DYNAMIC     Gi1/0/24
 760    a0ec.f935.db18    DYNAMIC     Gi1/0/24
 760    a0ec.f9af.ff18    DYNAMIC     Gi1/0/24
 760    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 831    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 832    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 922    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
 769    f8c2.88c8.0490    DYNAMIC     Gi1/0/24
Total Mac Addresses for this criterion: 254
SMG-SWC-LT3-A5#
Switch ip = 172.23.13.118
sh mac address-table | exclude Po
          Mac Address Table
-------------------------------------------

----    -----------       --------    -----
 All    0100.0ccc.cccc    STATIC      CPU
 All    0100.0ccc.cccd    STATIC      CPU
 All    0100.0ccc.ccce    STATIC      CPU
 All    0180.c200.0000    STATIC      CPU
 All    0180.c200.0001    STATIC      CPU
 All    0180.c200.0002    STATIC      CPU
 All    0180.c200.0003    STATIC      CPU
 All    0180.c200.0004    STATIC      CPU
 All    0180.c200.0005    STATIC      CPU
 All    0180.c200.0006    STATIC      CPU
 All    0180.c200.0007    STATIC      CPU
 All    0180.c200.0008    STATIC      CPU
 All    0180.c200.0009    STATIC      CPU
 All    0180.c200.000a    STATIC      CPU
 All    0180.c200.000b    STATIC      CPU
 All    0180.c200.000c    STATIC      CPU
 All    0180.c200.000d    STATIC      CPU
 All    0180.c200.000e    STATIC      CPU
 All    0180.c200.000f    STATIC      CPU
 All    0180.c200.0010    STATIC      CPU
 All    ffff.ffff.ffff    STATIC      CPU
   1    0023.245d.4c86    DYNAMIC     Gi1/0/24
   1    0023.245d.4ccb    DYNAMIC     Gi1/0/24
   1    0023.245d.4db6    DYNAMIC     Gi1/0/24
   1    1c69.7a72.0003    DYNAMIC     Gi1/0/24
   1    3863.bb3b.3220    DYNAMIC     Gi1/0/24
   1    40f2.e9d4.6cda    DYNAMIC     Gi1/0/24
   1    7079.b345.b8c7    DYNAMIC     Gi1/0/24
   1    881d.fc63.b647    STATIC      Vl1 
   1    8cec.4b4b.b3c0    DYNAMIC     Gi1/0/24
   1    a0d3.c10c.8e18    DYNAMIC     Gi1/0/24
   1    a0ec.f9b3.3f81    DYNAMIC     Gi1/0/24
   1    a0ec.f9b3.3f82    DYNAMIC     Gi1/0/24
   1    b47a.f135.476e    DYNAMIC     Gi1/0/24
   1    b47a.f135.4771    DYNAMIC     Gi1/0/24
   1    b47a.f135.486a    DYNAMIC     Gi1/0/24
   1    b47a.f135.486d    DYNAMIC     Gi1/0/24
   1    c465.1632.e8d4    DYNAMIC     Gi1/0/24
   1    c465.1635.4a46    DYNAMIC     Gi1/0/24
   1    c465.1635.4a4b    DYNAMIC     Gi1/0/24
   1    c465.1635.4ce3    DYNAMIC     Gi1/0/24
   1    c465.1635.4fa5    DYNAMIC     Gi1/0/24
   1    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
   2    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
   3    0000.5e00.010c    DYNAMIC     Gi1/0/24
   3    0018.734b.2240    DYNAMIC     Gi1/0/24
   3    001b.5367.d240    DYNAMIC     Gi1/0/24
   3    24e9.b334.9600    DYNAMIC     Gi1/0/24
   3    24e9.b396.2380    DYNAMIC     Gi1/0/24
   3    28ac.9ee7.7ee7    DYNAMIC     Gi1/0/24
   3    2c4f.5274.1267    DYNAMIC     Gi1/0/24
   3    5006.abd4.61c2    DYNAMIC     Gi1/0/24
   3    6416.8d0f.ff42    DYNAMIC     Gi1/0/24
   3    6c03.09e5.9b41    DYNAMIC     Gi1/0/24
   3    744d.28a0.d3c3    DYNAMIC     Gi1/0/24
   3    881d.fc57.a998    DYNAMIC     Gi1/0/24
   3    881d.fc57.a9e7    DYNAMIC     Gi1/0/24
   3    881d.fc63.b667    STATIC      Vl3 
   3    a0ec.f916.e498    DYNAMIC     Gi1/0/24
   3    a0ec.f916.e4e7    DYNAMIC     Gi1/0/24
   3    a0ec.f935.d818    DYNAMIC     Gi1/0/24
   3    a0ec.f935.d867    DYNAMIC     Gi1/0/24
   3    a0ec.f935.d898    DYNAMIC     Gi1/0/24
   3    a0ec.f935.d8e7    DYNAMIC     Gi1/0/24
   3    a0ec.f935.db18    DYNAMIC     Gi1/0/24
   3    a0ec.f935.db67    DYNAMIC     Gi1/0/24
   3    a0ec.f9af.ff18    DYNAMIC     Gi1/0/24
   3    a0ec.f9af.ff67    DYNAMIC     Gi1/0/24
   3    c07b.bc58.6e42    DYNAMIC     Gi1/0/24
   3    c4f7.d50d.e867    DYNAMIC     Gi1/0/24
   3    c4f7.d517.62e7    DYNAMIC     Gi1/0/24
   3    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
   3    f8c2.88c8.04c1    DYNAMIC     Gi1/0/24
   3    fcfb.fb1c.0741    DYNAMIC     Gi1/0/24
  15    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
  60    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 101    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 102    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 103    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 104    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 105    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 106    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 107    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 121    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 122    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 123    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 124    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 125    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 255    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 313    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 460    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 461    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 470    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 471    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 472    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 473    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 480    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 490    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 724    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 730    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 731    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 760    0023.245d.4b17    DYNAMIC     Gi1/0/24
 760    0023.245d.4bbc    DYNAMIC     Gi1/0/24
 760    0023.245d.4ca1    DYNAMIC     Gi1/0/24
 760    0023.245d.4daa    DYNAMIC     Gi1/0/24
 760    0023.245d.d6b2    DYNAMIC     Gi1/0/24
 760    1c69.7a35.6e13    DYNAMIC     Gi1/0/24
 760    1c69.7a35.9535    DYNAMIC     Gi1/0/5
 760    1c69.7a35.975a    DYNAMIC     Gi1/0/11
 760    1c69.7a37.1124    DYNAMIC     Gi1/0/24
 760    1c69.7a37.6d5b    DYNAMIC     Gi1/0/12
 760    1c69.7a37.7450    DYNAMIC     Gi1/0/22
 760    1c69.7a37.7567    DYNAMIC     Gi1/0/20
 760    1c69.7a37.8051    DYNAMIC     Gi1/0/24
 760    1c69.7a37.810e    DYNAMIC     Gi1/0/21
 760    1c69.7a37.84f2    DYNAMIC     Gi1/0/24
 760    1c69.7a37.8774    DYNAMIC     Gi1/0/24
 760    1c69.7a37.8966    DYNAMIC     Gi1/0/24
 760    1c69.7a3d.6974    DYNAMIC     Gi1/0/24
 760    1c69.7a3f.f06c    DYNAMIC     Gi1/0/24
 760    1c69.7a3f.f0d6    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0add    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0b20    DYNAMIC     Gi1/0/15
 760    1c69.7a70.0b61    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0b73    DYNAMIC     Gi1/0/7
 760    1c69.7a70.0bca    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0bcf    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0c74    DYNAMIC     Gi1/0/17
 760    1c69.7a70.0cce    DYNAMIC     Gi1/0/9
 760    1c69.7a70.0d08    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0d2b    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0d3a    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0d6e    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0d89    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0d8b    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0dc8    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0e4b    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0e96    DYNAMIC     Gi1/0/24
 760    1c69.7a70.0ea3    DYNAMIC     Gi1/0/24
 760    1c69.7a70.1697    DYNAMIC     Gi1/0/24
 760    1c69.7a70.1c44    DYNAMIC     Gi1/0/24
 760    1c69.7a70.87b4    DYNAMIC     Gi1/0/24
 760    1c69.7a70.87f9    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8809    DYNAMIC     Gi1/0/24
 760    1c69.7a70.881f    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8827    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8868    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8879    DYNAMIC     Gi1/0/24
 760    1c69.7a70.88a4    DYNAMIC     Gi1/0/1
 760    1c69.7a70.88aa    DYNAMIC     Gi1/0/24
 760    1c69.7a70.893b    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8953    DYNAMIC     Gi1/0/14
 760    1c69.7a70.8994    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8996    DYNAMIC     Gi1/0/18
 760    1c69.7a70.89d5    DYNAMIC     Gi1/0/24
 760    1c69.7a70.89f4    DYNAMIC     Gi1/0/24
 760    1c69.7a70.89fa    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8a0c    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8a16    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8a29    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8a33    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8a3b    DYNAMIC     Gi1/0/13
 760    1c69.7a70.8a57    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8a75    DYNAMIC     Gi1/0/2
 760    1c69.7a70.8a7f    DYNAMIC     Gi1/0/6
 760    1c69.7a70.8a87    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8aa0    DYNAMIC     Gi1/0/10
 760    1c69.7a70.8aa1    DYNAMIC     Gi1/0/8
 760    1c69.7a70.8aef    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8b0b    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8b4d    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8b56    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8b66    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8b82    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8bff    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8c27    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8c32    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8c40    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8cc5    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8cfe    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8de6    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8e1b    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8e6c    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8e90    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8e94    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8e95    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8e98    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8ec0    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8ec5    DYNAMIC     Gi1/0/24
 760    1c69.7a70.8efe    DYNAMIC     Gi1/0/24
 760    1c69.7a71.dac9    DYNAMIC     Gi1/0/4
 760    1c69.7a71.f9b4    DYNAMIC     Gi1/0/24
 760    1c69.7a71.fcca    DYNAMIC     Gi1/0/24
 760    1c69.7a71.fccb    DYNAMIC     Gi1/0/24
 760    1c69.7a71.feff    DYNAMIC     Gi1/0/24
 760    1c69.7a72.0019    DYNAMIC     Gi1/0/24
 760    1c69.7a72.001b    DYNAMIC     Gi1/0/24
 760    1c69.7a72.0043    DYNAMIC     Gi1/0/24
 760    1c69.7a72.00a1    DYNAMIC     Gi1/0/24
 760    1c69.7a72.00d2    DYNAMIC     Gi1/0/24
 760    1c69.7a72.0101    DYNAMIC     Gi1/0/24
 760    1c69.7a72.012f    DYNAMIC     Gi1/0/24
 760    1c69.7a72.04df    DYNAMIC     Gi1/0/24
 760    1c69.7a75.8de6    DYNAMIC     Gi1/0/24
 760    1c69.7a76.6f54    DYNAMIC     Gi1/0/24
 760    1c69.7a76.e1f4    DYNAMIC     Gi1/0/24
 760    1c69.7a77.1c5a    DYNAMIC     Gi1/0/24
 760    1c69.7a77.1d4a    DYNAMIC     Gi1/0/24
 760    1c69.7a77.1d59    DYNAMIC     Gi1/0/24
 760    1c69.7a77.1d97    DYNAMIC     Gi1/0/24
 760    1c69.7a77.1e18    DYNAMIC     Gi1/0/24
 760    1c69.7a77.1f35    DYNAMIC     Gi1/0/24
 760    1c69.7a77.20b4    DYNAMIC     Gi1/0/3
 760    1c69.7a77.21ec    DYNAMIC     Gi1/0/24
 760    1c69.7a77.21ff    DYNAMIC     Gi1/0/24
 760    1c69.7a77.2209    DYNAMIC     Gi1/0/24
 760    1c69.7a77.2277    DYNAMIC     Gi1/0/24
 760    24e9.b396.2380    DYNAMIC     Gi1/0/24
 760    881d.fc57.a998    DYNAMIC     Gi1/0/24
 760    8cec.4b4b.b2b4    DYNAMIC     Gi1/0/24
 760    8cec.4b4d.9596    DYNAMIC     Gi1/0/24
 760    8cec.4b4e.18a2    DYNAMIC     Gi1/0/24
 760    8cec.4b91.c45f    DYNAMIC     Gi1/0/24
 760    8cec.4b91.e174    DYNAMIC     Gi1/0/24
 760    8cec.4b9b.fea5    DYNAMIC     Gi1/0/24
 760    8cec.4b9b.ff2a    DYNAMIC     Gi1/0/24
 760    8cec.4b9f.cec5    DYNAMIC     Gi1/0/24
 760    a0d3.c10f.07a1    DYNAMIC     Gi1/0/24
 760    a0d3.c11b.11ca    DYNAMIC     Gi1/0/24
 760    a0d3.c11b.38c4    DYNAMIC     Gi1/0/24
 760    a0ec.f916.e498    DYNAMIC     Gi1/0/24
 760    a0ec.f935.d898    DYNAMIC     Gi1/0/24
 760    a0ec.f935.db18    DYNAMIC     Gi1/0/24
 760    a0ec.f9af.ff18    DYNAMIC     Gi1/0/24
 760    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 831    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 832    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 922    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
 769    f8c2.88c8.048c    DYNAMIC     Gi1/0/24
Total Mac Addresses for this criterion: 239
SMG-SWC-LT3-A6#
Switch ip = 172.23.13.121
sh mac address-table | exclude Po
          Mac Address Table
-------------------------------------------

----    -----------       --------    -----
 All    0100.0ccc.cccc    STATIC      CPU
 All    0100.0ccc.cccd    STATIC      CPU
 All    0180.c200.0000    STATIC      CPU
 All    0180.c200.0001    STATIC      CPU
 All    0180.c200.0002    STATIC      CPU
 All    0180.c200.0003    STATIC      CPU
 All    0180.c200.0004    STATIC      CPU
 All    0180.c200.0005    STATIC      CPU
 All    0180.c200.0006    STATIC      CPU
 All    0180.c200.0007    STATIC      CPU
 All    0180.c200.0008    STATIC      CPU
 All    0180.c200.0009    STATIC      CPU
 All    0180.c200.000a    STATIC      CPU
 All    0180.c200.000b    STATIC      CPU
 All    0180.c200.000c    STATIC      CPU
 All    0180.c200.000d    STATIC      CPU
 All    0180.c200.000e    STATIC      CPU
 All    0180.c200.000f    STATIC      CPU
 All    0180.c200.0010    STATIC      CPU
 All    ffff.ffff.ffff    STATIC      CPU
   1    0023.245d.4d9b    DYNAMIC     Gi0/1
   1    1c69.7a37.0ea1    DYNAMIC     Gi0/1
   1    1c69.7a72.0003    DYNAMIC     Gi0/1
   1    3863.bb3b.3220    DYNAMIC     Gi0/1
   1    40f2.e9d4.6cda    DYNAMIC     Gi0/1
   1    7079.b345.b8c7    DYNAMIC     Gi0/1
   1    8cec.4b4b.b3c0    DYNAMIC     Gi0/1
   1    a0d3.c10c.8e18    DYNAMIC     Gi0/1
   1    a0ec.f9b3.3f81    DYNAMIC     Gi0/1
   1    a0ec.f9b3.3f82    DYNAMIC     Gi0/1
   1    b47a.f135.476e    DYNAMIC     Gi0/1
   1    b47a.f135.4771    DYNAMIC     Gi0/1
   1    b47a.f135.486a    DYNAMIC     Gi0/1
